schema_name,table_name,column_name,data_type,column_comment,include_in_training,exclude_reason
public,dc_survey_task,image_count,integer,照片数量,yes,
public,dc_survey_task,duration,bigint,巡查时长: 单位秒,yes,
public,dc_survey_task,distance,"numeric(20,3)",巡查距离: 单位km,yes,
public,dc_survey_task,current_point_count,integer,本次巡查点位数量: 重新开启后自动清零,yes,
public,dc_survey_task,update_name,character varying(100),更新人名称：当前巡查人员,yes,
public,dc_survey_task,cache_id,character varying(100),本地缓存ID：APP端维护,yes,
public,dc_survey_task_instance,id,bigint,主键,yes,
public,dc_survey_task_instance,task_id,bigint,任务ID,yes,
public,dc_survey_task_instance,start_time,timestamp without time zone,执行开始时间,yes,
public,dc_survey_task_instance,end_time,timestamp without time zone,执行结束时间,yes,
public,dc_survey_task_instance,duration,bigint,执行时长（秒）,yes,
public,dc_survey_task_instance,create_time,timestamp without time zone,创建时间,yes,
public,dc_survey_track,id,bigint,主键,yes,
public,dc_survey_track,task_id,bigint,巡查任务ID,yes,
public,dc_survey_track,lat,double precision,纬度,yes,
public,dc_survey_track,lon,double precision,经度,yes,
public,dc_survey_track,distance,"numeric(20,3)",距离上一个点的距离（米）,yes,
public,dc_survey_track,create_by,bigint,创建人,yes,
public,dc_survey_track,create_time,timestamp without time zone,创建时间,yes,
public,dc_survey_track,num,integer,点位编号,yes,
public,dc_survey_track,task_instance_id,bigint,实例ID,yes,
public,gis_control_unit,id,bigint,主键,yes,
public,gis_control_unit,geom,"geometry(MultiPolygon,4326)",几何信息,yes,
public,gis_control_unit,control_unit_name,character varying(254),控制单元名称,yes,
public,gis_control_unit,area,double precision,面积（km2）,yes,
public,gis_control_unit,control_unit_code,character varying(100),控制单元编码,yes,
public,gis_control_unit,basin,character varying(200),所属流域,yes,
public,gis_control_unit,remark,character varying(255),备注,yes,
public,gis_control_unit,create_time,timestamp without time zone,创建时间,yes,
public,gis_control_unit,update_time,timestamp without time zone,更新时间,yes,
public,gis_control_unit,del_flag,character(1),删除标志：0-正常、1-删除,yes,
public,gis_control_unit,create_by,bigint,创建人,yes,
public,gis_control_unit,update_by,bigint,修改人,yes,
public,gis_ecologicalregion,id,bigint,主键ID,yes,
public,gis_ecologicalregion,ecological_region_name,character varying(255),生态红线区域名称,yes,
public,gis_ecologicalregion,ecological_region_code,character varying(32),生态红线区域编码,yes,
public,gis_ecologicalregion,address,character varying(255),地址,yes,
public,gis_ecologicalregion,geom,"geometry(Geometry,4326)",空间几何数据,yes,
public,gis_ecologicalregion,population,bigint,人口数量,yes,
public,gis_ecologicalregion,type,character(1),类型,yes,
public,gis_ecologicalregion,service_target,character varying(255),生态服务目标,yes,
public,gis_ecologicalregion,ecosystem_vegetation,character varying(255),生态系统植被概况,yes,
public,gis_ecologicalregion,human_activities,character varying(255),人类活动影响描述,yes,
public,gis_ecologicalregion,environment_problems,character varying(255),生态环境问题描述,yes,
public,gis_ecologicalregion,control_measures,character varying(255),管控措施描述,yes,
public,gis_ecologicalregion,remark,character varying(255),备注,yes,
public,gis_ecologicalregion,create_by,bigint,创建人,yes,
public,gis_ecologicalregion,create_time,timestamp without time zone,创建时间,yes,
public,gis_ecologicalregion,update_by,bigint,修改人,yes,
public,gis_ecologicalregion,update_time,timestamp without time zone,修改时间,yes,
public,gis_ecologicalregion,del_flag,character(1),删除标志：0-正常，1-已删除,yes,
public,gis_headwaters,id,bigint,主键ID,yes,
public,gis_headwaters,headwaters_name,character varying(255),水源地名称,yes,
public,gis_headwaters,headwaters_code,character varying(32),水源地编码,yes,
public,gis_headwaters,address,character varying(255),地址,yes,
public,gis_headwaters,geom,"geometry(Geometry,4326)",空间几何数据,yes,
public,gis_headwaters,level,character varying(8),级别,yes,
public,gis_headwaters,type,character(1),类型,yes,
public,gis_headwaters,water_intake_quantity,double precision,年取水量,yes,
public,gis_headwaters,water_supply_population,bigint,供水人口数,yes,
public,gis_headwaters,is_protect_region,character(1),是否在保护区范围内,yes,
public,gis_headwaters,remark,character varying(255),备注,yes,
public,gis_headwaters,create_by,bigint,创建人,yes,
public,gis_headwaters,create_time,timestamp without time zone,创建时间,yes,
public,gis_headwaters,update_by,bigint,修改人,yes,
public,gis_headwaters,update_time,timestamp without time zone,修改时间,yes,
public,gis_headwaters,del_flag,character(1),删除标志：0-正常，1-已删除,yes,
public,gis_naturereserve,id,bigint,主键ID,yes,
public,gis_naturereserve,nature_reserve_name,character varying(255),自然保护区名称,yes,
public,gis_naturereserve,nature_reserve_code,character varying(32),自然保护区编码,yes,
public,gis_naturereserve,address,character varying(255),地址,yes,
public,gis_naturereserve,geom,"geometry(Geometry,4326)",空间几何数据,yes,
public,gis_naturereserve,department,character varying(100),主管部门,yes,
public,gis_naturereserve,type,character(1),类型,yes,
public,gis_naturereserve,level,character varying(8),级别,yes,
public,gis_naturereserve,protect_target,character varying(255),主要保护对象,yes,
public,gis_naturereserve,manage_org_name,character varying(100),管理机构名称,yes,
public,gis_naturereserve,manage_org_type,character varying(8),管理机构类型,yes,
public,gis_naturereserve,manage_org_level,character varying(8),管理机构级别,yes,
public,gis_naturereserve,population,bigint,人口数量,yes,
public,gis_naturereserve,first_protect_animals,character varying(255),国家一级保护动物,yes,
public,gis_naturereserve,second_protect_animals,character varying(255),国家二级保护动物,yes,
public,gis_naturereserve,first_protect_plants,character varying(255),国家一级保护植物,yes,
public,gis_naturereserve,second_protect_plants,character varying(255),国家二级保护植物,yes,
public,gis_naturereserve,create_by,bigint,创建人,yes,
public,gis_naturereserve,create_time,timestamp without time zone,创建时间,yes,
public,gis_naturereserve,update_by,bigint,修改人,yes,
public,gis_naturereserve,update_time,timestamp without time zone,修改时间,yes,
public,gis_naturereserve,del_flag,character(1),删除标志：0-正常，1-已删除,yes,
public,gis_poi,id,bigint,主键id,yes,
public,gis_poi,code,bigint,poi标识码,yes,
public,gis_poi,name,character varying(100),名称,yes,
public,gis_poi,address,character varying(255),地址,yes,
public,gis_poi,category,character varying(100),分类,yes,
public,gis_poi,region_code,character varying(32),行政区编码,yes,
public,gis_poi,region_province,character varying(30),行政区省,yes,
public,gis_poi,region_city,character varying(50),行政区城市,yes,
public,gis_poi,lon,double precision,经度,yes,
public,gis_poi,lat,double precision,纬度,yes,
public,gis_poi,telephone,character varying(11),电话,yes,
public,gis_poi,remark,character varying(255),备注,yes,
public,gis_poi,create_time,timestamp without time zone,创建时间,yes,
public,gis_poi,update_time,timestamp without time zone,修改时间,yes,
public,gis_poi,del_flag,character(1),删除标志：0-正常，1-已删除,yes,
public,gis_poi,create_by,bigint,创建人,yes,
public,gis_poi,update_by,bigint,修改人,yes,
public,gis_region,id,bigint,主键id,yes,
public,gis_region,region_code,character varying(32),行政区划编码,yes,
public,gis_region,region_name,character varying(100),行政区划名称,yes,
public,gis_region,control_unit_id,bigint,管控单元ID,yes,
public,gis_region,region_level,character varying(4),区划级别,yes,
public,gis_region,parent_code,character varying(60),父级区划编码,yes,
public,gis_region,code,character varying(32),编码,yes,
public,gis_region,address,character varying(255),地址,yes,
public,gis_region,remark,character varying(255),备注,yes,
public,gis_region,create_by,bigint,创建人,yes,
public,gis_region,create_time,timestamp without time zone,创建时间,yes,
public,gis_region,update_by,bigint,更新人,yes,
public,gis_region,update_time,timestamp without time zone,更新时间,yes,
public,gis_region,del_flag,character(1),删除标记：0 未删除、1 已删除,yes,
public,gis_region_city,id,integer,主键ID,yes,
