table_schema,table_name,column_name,data_type,udt_name,table_comment,table_prefix
public,layer_industrial_yjsgc,name,character varying,varchar,工业园区-应急事故池,layer_industrial
public,layer_industrial_yjsgc,code,character varying,varchar,工业园区-应急事故池,layer_industrial
public,layer_industrial_ysc,id,integer,int4,工业园区-雨水池,layer_industrial
public,layer_industrial_ysc,geom,USER-DEFINED,geometry,工业园区-雨水池,layer_industrial
public,layer_industrial_ysc,x,double precision,float8,工业园区-雨水池,layer_industrial
public,layer_industrial_ysc,y,double precision,float8,工业园区-雨水池,layer_industrial
public,layer_industrial_ysc,name,character varying,varchar,工业园区-雨水池,layer_industrial
public,layer_industrial_ysc,code,character varying,varchar,工业园区-雨水池,layer_industrial
public,layer_outlet_sewage,id,integer,int4,工业园区-污水排放口,layer_outlet
public,layer_outlet_sewage,x,double precision,float8,工业园区-污水排放口,layer_outlet
public,layer_outlet_sewage,y,double precision,float8,工业园区-污水排放口,layer_outlet
public,layer_outlet_sewage,name,character varying,varchar,工业园区-污水排放口,layer_outlet
public,layer_outlet_sewage,code,character varying,varchar,工业园区-污水排放口,layer_outlet
public,layer_outlet_sewage,geom,USER-DEFINED,geometry,工业园区-污水排放口,layer_outlet
public,layer_partition_2,id,integer,int4,二级分区,layer_partition
public,layer_partition_2,geom,USER-DEFINED,geometry,二级分区,layer_partition
public,layer_partition_3,id,integer,int4,三级分区,layer_partition
public,layer_partition_3,geom,USER-DEFINED,geometry,三级分区,layer_partition
public,layer_reservoir_provincial,id,integer,int4,省控水库,layer_reservoir
public,layer_reservoir_provincial,geom,USER-DEFINED,geometry,省控水库,layer_reservoir
public,layer_reservoir_provincial,objectid,bigint,int8,省控水库,layer_reservoir
public,layer_reservoir_provincial,cc,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,gb,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,bas,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,name,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,period,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,type,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,wq,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,aheight,double precision,float8,省控水库,layer_reservoir
public,layer_reservoir_provincial,parea,double precision,float8,省控水库,layer_reservoir
public,layer_reservoir_provincial,ec,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,grade,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,length,double precision,float8,省控水库,layer_reservoir
public,layer_reservoir_provincial,mheight,double precision,float8,省控水库,layer_reservoir
public,layer_reservoir_provincial,sdtf,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,shrc,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,vol,double precision,float8,省控水库,layer_reservoir
public,layer_reservoir_provincial,featid,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,elemstime,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,elemetime,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,ecrm,integer,int4,省控水库,layer_reservoir
public,layer_reservoir_provincial,wrid,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,wrgr,integer,int4,省控水库,layer_reservoir
public,layer_reservoir_provincial,areacode,bigint,int8,省控水库,layer_reservoir
public,layer_reservoir_provincial,changetype,integer,int4,省控水库,layer_reservoir
public,layer_reservoir_provincial,changeatt,character varying,varchar,省控水库,layer_reservoir
public,layer_reservoir_provincial,shape_leng,double precision,float8,省控水库,layer_reservoir
public,layer_reservoir_provincial,shape_area,double precision,float8,省控水库,layer_reservoir
