table_schema,table_name,column_name,ordinal_position,data_type,udt_name,is_nullable,column_default,column_comment,has_comment,table_comment
public,gis_ecologicalregion,create_time,16,timestamp without time zone,timestamp,YES,,,False,
public,gis_ecologicalregion,update_by,17,bigint,int8,YES,,,False,
public,gis_ecologicalregion,update_time,18,timestamp without time zone,timestamp,YES,,,False,
public,gis_ecologicalregion,del_flag,19,character,bpchar,YES,0,,False,
public,gis_headwaters,id,1,bigint,int8,NO,,,False,
public,gis_headwaters,headwaters_name,2,character varying,varchar,YES,,,False,
public,gis_headwaters,headwaters_code,3,character varying,varchar,YES,,,False,
public,gis_headwaters,address,4,character varying,varchar,YES,,,False,
public,gis_headwaters,geom,5,USER-DEFINED,geometry,YES,,,False,
public,gis_headwaters,level,6,character varying,varchar,YES,,,False,
public,gis_headwaters,type,7,character,bpchar,YES,,,False,
public,gis_headwaters,water_intake_quantity,8,double precision,float8,YES,,,False,
public,gis_headwaters,water_supply_population,9,bigint,int8,YES,,,False,
public,gis_headwaters,is_protect_region,10,character,bpchar,YES,,,False,
public,gis_headwaters,remark,11,character varying,varchar,YES,,,False,
public,gis_headwaters,create_by,12,bigint,int8,YES,,,False,
public,gis_headwaters,create_time,13,timestamp without time zone,timestamp,YES,,,False,
public,gis_headwaters,update_by,14,bigint,int8,YES,,,False,
public,gis_headwaters,update_time,15,timestamp without time zone,timestamp,YES,,,False,
public,gis_headwaters,del_flag,16,character,bpchar,YES,0,,False,
public,gis_naturereserve,id,1,bigint,int8,NO,,,False,
public,gis_naturereserve,nature_reserve_name,2,character varying,varchar,YES,,,False,
public,gis_naturereserve,nature_reserve_code,3,character varying,varchar,YES,,,False,
public,gis_naturereserve,address,4,character varying,varchar,YES,,,False,
public,gis_naturereserve,geom,5,USER-DEFINED,geometry,YES,,,False,
public,gis_naturereserve,department,6,character varying,varchar,YES,,,False,
public,gis_naturereserve,type,7,character,bpchar,YES,,,False,
public,gis_naturereserve,level,8,character varying,varchar,YES,,,False,
public,gis_naturereserve,protect_target,9,character varying,varchar,YES,,,False,
public,gis_naturereserve,total_area,10,double precision,float8,YES,,,False,
public,gis_naturereserve,core_area,11,double precision,float8,YES,,,False,
public,gis_naturereserve,buffer_area,12,double precision,float8,YES,,,False,
public,gis_naturereserve,manage_org_name,13,character varying,varchar,YES,,,False,
public,gis_naturereserve,manage_org_type,14,character varying,varchar,YES,,,False,
public,gis_naturereserve,manage_org_level,15,character varying,varchar,YES,,,False,
public,gis_naturereserve,population,16,bigint,int8,YES,,,False,
public,gis_naturereserve,first_protect_animals,17,character varying,varchar,YES,,,False,
public,gis_naturereserve,second_protect_animals,18,character varying,varchar,YES,,,False,
public,gis_naturereserve,first_protect_plants,19,character varying,varchar,YES,,,False,
public,gis_naturereserve,second_protect_plants,20,character varying,varchar,YES,,,False,
public,gis_naturereserve,create_by,21,bigint,int8,YES,,,False,
public,gis_naturereserve,create_time,22,timestamp without time zone,timestamp,YES,,,False,
public,gis_naturereserve,update_by,23,bigint,int8,YES,,,False,
public,gis_naturereserve,update_time,24,timestamp without time zone,timestamp,YES,,,False,
public,gis_naturereserve,del_flag,25,character,bpchar,YES,0,,False,
public,gis_poi,id,1,bigint,int8,NO,,主键id,True,主键id
public,gis_poi,code,2,bigint,int8,YES,,poi标识码,True,主键id
public,gis_poi,name,3,character varying,varchar,YES,,名称,True,主键id
public,gis_poi,address,4,character varying,varchar,YES,,地址,True,主键id
public,gis_poi,category,5,character varying,varchar,YES,,分类,True,主键id
public,gis_poi,region_code,6,character varying,varchar,YES,,行政区编码,True,主键id
public,gis_poi,region_province,7,character varying,varchar,YES,,行政区省,True,主键id
public,gis_poi,region_city,8,character varying,varchar,YES,,行政区城市,True,主键id
public,gis_poi,lon,9,double precision,float8,YES,,经度,True,主键id
public,gis_poi,lat,10,double precision,float8,YES,,纬度,True,主键id
public,gis_poi,telephone,11,character varying,varchar,YES,,电话,True,主键id
public,gis_poi,remark,12,character varying,varchar,YES,,备注,True,主键id
public,gis_poi,create_time,13,timestamp without time zone,timestamp,YES,CURRENT_TIMESTAMP,,False,主键id
public,gis_poi,update_time,14,timestamp without time zone,timestamp,YES,,,False,主键id
public,gis_poi,del_flag,15,character,bpchar,YES,0,,False,主键id
public,gis_poi,create_by,16,bigint,int8,YES,,,False,主键id
public,gis_poi,update_by,17,bigint,int8,YES,,,False,主键id
public,gis_region,id,1,bigint,int8,NO,,主键id,True,区县数据表
public,gis_region,region_code,2,character varying,varchar,YES,,,False,区县数据表
public,gis_region,region_name,3,character varying,varchar,YES,,,False,区县数据表
public,gis_region,control_unit_id,4,bigint,int8,YES,,,False,区县数据表
public,gis_region,region_level,5,character varying,varchar,YES,,,False,区县数据表
public,gis_region,parent_code,6,character varying,varchar,YES,,,False,区县数据表
public,gis_region,code,7,character varying,varchar,YES,,,False,区县数据表
public,gis_region,address,8,character varying,varchar,YES,,,False,区县数据表
public,gis_region,remark,9,character varying,varchar,YES,,,False,区县数据表
public,gis_region,create_by,10,bigint,int8,YES,,创建人,True,区县数据表
public,gis_region,create_time,11,timestamp without time zone,timestamp,YES,,创建时间,True,区县数据表
public,gis_region,update_by,12,bigint,int8,YES,,更新人,True,区县数据表
public,gis_region,update_time,13,timestamp without time zone,timestamp,YES,,更新时间,True,区县数据表
public,gis_region,del_flag,14,character,bpchar,YES,0,删除标记：0 未删除、1 已删除,True,区县数据表
public,gis_region_city,id,1,integer,int4,NO,nextval('gis_region_city_id_seq'::regclass),,False,
