schema,table,column,type,has_comment,comment
public,dc_survey_info,create_time,timestamp without time zone,yes,创建时间
public,dc_survey_info,update_by,bigint,yes,更新人
public,dc_survey_info,update_time,timestamp without time zone,yes,更新时间
public,dc_survey_info,del_flag,character(1),yes,删除标记：0 未删除、1 已删除
public,dc_survey_info,survey_type,smallint,yes,调查类型：0-excel调查信息、1-word小结
public,dc_survey_info,image_path_2,character varying(200),yes,图片2
public,dc_survey_info,image_path_3,character varying(200),yes,图片3
public,dc_survey_info,task_id,bigint,yes,APP巡查：任务id
public,dc_survey_info,task_instance_id,bigint,yes,APP巡查：巡查任务实例id
public,dc_survey_offline_sync,id,bigint,yes,主键
public,dc_survey_offline_sync,cache_id,character varying(64),yes,缓存ID：APP端维护，用于关联提交数据
public,dc_survey_offline_sync,sync_status,integer,yes,同步状态：0-待同步，1-同步中，2-同步成功，3-同步失败
public,dc_survey_offline_sync,sync_progress,integer,yes,同步进度：0-100
public,dc_survey_offline_sync,total_steps,integer,yes,总步骤数
public,dc_survey_offline_sync,current_step,integer,yes,当前步骤
public,dc_survey_offline_sync,sync_start_time,timestamp without time zone,yes,同步开始时间
public,dc_survey_offline_sync,sync_end_time,timestamp without time zone,yes,同步结束时间
public,dc_survey_offline_sync,task_id,bigint,yes,任务ID：关联的巡查任务ID
public,dc_survey_offline_sync,sync_result,character varying(500),yes,同步结果信息
public,dc_survey_offline_sync,error_message,text,yes,错误信息
public,dc_survey_offline_sync,create_by,bigint,yes,创建人
public,dc_survey_offline_sync,create_time,timestamp without time zone,yes,创建时间
public,dc_survey_offline_sync,del_flag,character varying(1),yes,删除标记：0 未删除、1 已删除
public,dc_survey_offline_upload,id,bigint,yes,主键ID
public,dc_survey_offline_upload,cache_id,character varying(64),yes,缓存ID：与离线同步任务的cacheId对应，用于批量文件管理
public,dc_survey_offline_upload,file_md5,character varying(32),yes,文件标识：MD5值，用于唯一标识文件和完整性校验
public,dc_survey_offline_upload,file_type,character varying(20),yes,文件类型：json-JSON数据文件，image-图片文件
public,dc_survey_offline_upload,file_name,character varying(255),yes,文件名
public,dc_survey_offline_upload,file_size,bigint,yes,文件总大小：字节
public,dc_survey_offline_upload,uploaded_size,bigint,yes,已上传大小：字节
public,dc_survey_offline_upload,total_chunks,integer,yes,总分块数
public,dc_survey_offline_upload,uploaded_chunks,text,yes,已上传分块列表：JSON数组，记录已完成的分块序号
public,dc_survey_offline_upload,file_path,character varying(500),yes,文件存储路径：上传完成后的完整路径
public,dc_survey_offline_upload,upload_status,smallint,yes,上传状态：0-待上传，1-上传中，2-上传完成，3-合并失败
public,dc_survey_offline_upload,message,text,yes,执行信息：错误日志
public,dc_survey_offline_upload,create_by,bigint,yes,创建人
public,dc_survey_offline_upload,create_time,timestamp without time zone,yes,创建时间
public,dc_survey_offline_upload,update_time,timestamp without time zone,yes,更新时间
public,dc_survey_offline_upload,clean_flag,character(1),yes,本地文件清理标记：0 未删除、1 已删除
public,dc_survey_task,id,bigint,yes,主键
public,dc_survey_task,title,character varying(255),yes,巡查标题
public,dc_survey_task,survey_time,character varying(20),yes,巡查时间: yyyyMMdd
public,dc_survey_task,watershed_partition_id,bigint,yes,流域分区ID
public,dc_survey_task,status,integer,yes,"任务状态: 0-进行中, 1-已暂停, 2-已结束"
public,dc_survey_task,point_count,integer,yes,点位数量
public,dc_survey_task,remark,character varying(500),yes,备注
public,dc_survey_task,create_by,bigint,yes,创建人
public,dc_survey_task,create_time,timestamp without time zone,yes,创建时间
public,dc_survey_task,update_by,bigint,yes,更新人
public,dc_survey_task,update_time,timestamp without time zone,yes,更新时间
public,dc_survey_task,del_flag,character varying(1),yes,删除标记：0 未删除、1 已删除
public,dc_survey_task,image_count,integer,yes,照片数量
public,dc_survey_task,duration,bigint,yes,巡查时长: 单位秒
public,dc_survey_task,distance,"numeric(20,3)",yes,巡查距离: 单位km
public,dc_survey_task,current_point_count,integer,yes,本次巡查点位数量: 重新开启后自动清零
public,dc_survey_task,update_name,character varying(100),yes,更新人名称：当前巡查人员
public,dc_survey_task,cache_id,character varying(100),yes,本地缓存ID：APP端维护
public,dc_survey_task_instance,id,bigint,yes,主键
public,dc_survey_task_instance,task_id,bigint,yes,任务ID
public,dc_survey_task_instance,start_time,timestamp without time zone,yes,执行开始时间
public,dc_survey_task_instance,end_time,timestamp without time zone,yes,执行结束时间
public,dc_survey_task_instance,duration,bigint,yes,执行时长（秒）
public,dc_survey_task_instance,create_time,timestamp without time zone,yes,创建时间
public,dc_survey_track,id,bigint,yes,主键
public,dc_survey_track,task_id,bigint,yes,巡查任务ID
public,dc_survey_track,lat,double precision,yes,纬度
public,dc_survey_track,lon,double precision,yes,经度
public,dc_survey_track,distance,"numeric(20,3)",yes,距离上一个点的距离（米）
public,dc_survey_track,create_by,bigint,yes,创建人
public,dc_survey_track,create_time,timestamp without time zone,yes,创建时间
public,dc_survey_track,num,integer,yes,点位编号
public,dc_survey_track,task_instance_id,bigint,yes,实例ID
public,gis_control_unit,id,bigint,yes,主键
public,gis_control_unit,geom,"geometry(MultiPolygon,4326)",yes,几何信息
public,gis_control_unit,control_unit_name,character varying(254),yes,控制单元名称
public,gis_control_unit,area,double precision,yes,面积（km2）
