list_name,table_name,column_name,source_comment,list_comment,match_status,issue
candidate_whitelist,dc_survey_task_instance,start_time,执行开始时间,执行开始时间,match,
candidate_whitelist,dc_survey_task_instance,end_time,执行结束时间,执行结束时间,match,
candidate_whitelist,dc_survey_task_instance,duration,执行时长（秒）,执行时长（秒）,match,
candidate_whitelist,dc_survey_task_instance,create_time,创建时间,创建时间,match,
candidate_whitelist,dc_survey_track,id,主键,主键,match,
candidate_whitelist,dc_survey_track,task_id,巡查任务ID,巡查任务ID,match,
candidate_whitelist,dc_survey_track,lat,纬度,纬度,match,
candidate_whitelist,dc_survey_track,lon,经度,经度,match,
candidate_whitelist,dc_survey_track,distance,距离上一个点的距离（米）,距离上一个点的距离（米）,match,
candidate_whitelist,dc_survey_track,create_by,创建人,创建人,match,
candidate_whitelist,dc_survey_track,create_time,创建时间,创建时间,match,
candidate_whitelist,dc_survey_track,num,点位编号,点位编号,match,
candidate_whitelist,dc_survey_track,task_instance_id,实例ID,实例ID,match,
candidate_whitelist,gis_control_unit,id,主键,主键,match,
candidate_whitelist,gis_control_unit,geom,几何信息,几何信息,match,
candidate_whitelist,gis_control_unit,control_unit_name,控制单元名称,控制单元名称,match,
candidate_whitelist,gis_control_unit,area,面积（km2）,面积（km2）,match,
candidate_whitelist,gis_control_unit,control_unit_code,控制单元编码,控制单元编码,match,
candidate_whitelist,gis_control_unit,basin,所属流域,所属流域,match,
candidate_whitelist,gis_control_unit,remark,备注,备注,match,
candidate_whitelist,gis_control_unit,create_time,创建时间,创建时间,match,
candidate_whitelist,gis_control_unit,update_time,更新时间,更新时间,match,
candidate_whitelist,gis_control_unit,del_flag,删除标志：0-正常、1-删除,删除标志：0-正常、1-删除,match,
candidate_whitelist,gis_control_unit,create_by,创建人,创建人,match,
candidate_whitelist,gis_control_unit,update_by,修改人,修改人,match,
candidate_whitelist,gis_poi,id,主键id,主键id,match,
candidate_whitelist,gis_poi,code,poi标识码,poi标识码,match,
candidate_whitelist,gis_poi,name,名称,名称,match,
candidate_whitelist,gis_poi,address,地址,地址,match,
candidate_whitelist,gis_poi,category,分类,分类,match,
candidate_whitelist,gis_poi,region_code,行政区编码,行政区编码,match,
candidate_whitelist,gis_poi,region_province,行政区省,行政区省,match,
candidate_whitelist,gis_poi,region_city,行政区城市,行政区城市,match,
candidate_whitelist,gis_poi,lon,经度,经度,match,
candidate_whitelist,gis_poi,lat,纬度,纬度,match,
candidate_whitelist,gis_poi,telephone,电话,电话,match,
candidate_whitelist,gis_poi,remark,备注,备注,match,
candidate_whitelist,gis_region,id,主键id,主键id,match,
candidate_whitelist,gis_region,create_by,创建人,创建人,match,
candidate_whitelist,gis_region,create_time,创建时间,创建时间,match,
candidate_whitelist,gis_region,update_by,更新人,更新人,match,
candidate_whitelist,gis_region,update_time,更新时间,更新时间,match,
candidate_whitelist,gis_region,del_flag,删除标记：0 未删除、1 已删除,删除标记：0 未删除、1 已删除,match,
candidate_whitelist,gis_region_city,region_name,行政区划名称,行政区划名称,match,
candidate_whitelist,gis_region_city,region_code,行政区划编码,行政区划编码,match,
candidate_whitelist,gis_region_county,region_name,行政区名称,行政区名称,match,
candidate_whitelist,gis_region_county,city,市级名称,市级名称,match,
candidate_whitelist,gis_region_county,region_code,行政区编码,行政区编码,match,
candidate_whitelist,gis_region_township,region_code,行政区划编码,行政区划编码,match,
candidate_whitelist,gis_region_township,county,区县名称,区县名称,match,
candidate_whitelist,gis_region_township,region_name,行政区划名称,行政区划名称,match,
candidate_whitelist,gis_region_township,city,市级名称,市级名称,match,
candidate_whitelist,gis_watershed_partition,name,名称,名称,match,
